Text,Sentiment
I had a great therapy session today!,Positive
Feeling a bit overwhelmed right now.,Negative
Grateful for the support from friends.,Positive
Struggling with anxiety before the exam.,Negative
Excited about the progress I've made.,Positive
Today has been a tough day emotionally.,Negative
Enjoying a peaceful moment of meditation.,Positive
Dealing with a lot of stress at work.,Negative
Reflecting on the positive aspects of life.,Positive
Feeling down and need someone to talk to.,Negative
